RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,Date,Home Value
99534,222,98052,zip,WA,WA,Redmond,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,306108.0
99575,687,98115,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,296737.0
99563,750,98103,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,266500.0
99559,878,98092,zip,WA,WA,,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,218898.0
99527,927,98042,zip,WA,WA,Covington,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,215556.0
99508,944,98023,zip,WA,WA,Federal Way,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,185629.0
99565,981,98105,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,365056.0
99491,1022,98003,zip,WA,WA,Federal Way,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,167046.0
99519,1081,98034,zip,WA,WA,Kirkland,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,234356.0
99578,1099,98118,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,213088.0
99589,1107,98133,zip,WA,WA,Shoreline,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,212399.0
99540,1317,98058,zip,WA,WA,Renton,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,210762.0
99583,1493,98125,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,230663.0
99516,1613,98031,zip,WA,WA,Kent,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,200386.0
99581,1624,98122,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,259483.0
99518,1733,98033,zip,WA,WA,Kirkland,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,362938.0
99494,1963,98006,zip,WA,WA,Bellevue,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,375667.0
99517,2087,98032,zip,WA,WA,Kent,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,170918.0
99515,2268,98030,zip,WA,WA,Kent,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,186970.0
99492,2280,98004,zip,WA,WA,Bellevue,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,480759.0
99489,2287,98001,zip,WA,WA,Auburn,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,189228.0
99541,2289,98059,zip,WA,WA,Renton,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,264393.0
99577,2388,98117,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,268860.0
99538,2401,98056,zip,WA,WA,Renton,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,235756.0
99623,2469,98198,zip,WA,WA,Des Moines,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,175538.0
99608,2524,98168,zip,WA,WA,Seatac,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,164787.0
99601,2563,98155,zip,WA,WA,Shoreline,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,223777.0
99512,2707,98027,zip,WA,WA,Issaquah,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,319086.0
99569,2826,98109,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,275669.0
99490,3119,98002,zip,WA,WA,Auburn,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,148650.0
99523,3145,98038,zip,WA,WA,Maple Valley,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,243008.0
99595,3746,98144,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,253916.0
99597,3768,98146,zip,WA,WA,Burien,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,197006.0
99552,3878,98074,zip,WA,WA,Sammamish,"Seattle-Tacoma-Bellevue, WA",King County,2000-01-31,372933.0
